repo	number	created	state	group	class	quantified	title
KeenWill/signalbox	611	2026-08-13	open	never-engaged	no_cache_control	98 calls / 7.1M input tok / 0 cache reads; ~$22 window vs "a few dollars"	Anthropic-provider model calls never use prompt caching (0% cache reads observed)
Zoo-Code-Org/Zoo-Code	717	2026-06-25	open	never-engaged	no_cache_control	none stated; every unlisted model, indefinitely	[BUG] Anthropic prompt caching gated on hard-coded model-id switch instead of info.supportsPromptCache
agentgateway/agentgateway	3167	2026-08-25	open	never-engaged	no_cache_control	none stated	promptCaching policy is a silent no-op for the native Anthropic provider
openclaw/openclaw	19534	2026-02-17	closed	prefix-broke	system_changed	170,602 tok rewritten every request; $35/day vs $9 expected; 10x per message	[Bug]: Anthropic prompt caching broken - Cache Read always 0
eclipse-theia/theia	17986	2026-09-02	open	prefix-broke	system_changed	no figure; names the 1.25x-vs-0.1x mechanism exactly	ai: volatile editor context in system prompts defeats prompt caching
maximhq/bifrost	6591	2026-08-27	open	prefix-broke	tools_changed	1/5 cache hits through the proxy vs 5/5 direct; third regression of the same bug	[Bug]: Non-deterministic tool payload serialization breaks provider prompt caching
lue-labs/pi-mono	520	2026-09-02	open	prefix-broke	messages_changed + unavailable	177k of 279k session write tokens from 3 miss events; one 0% miss 7s after a 96.3% hit	Vanilla pi lane: thinking-block strip re-bills the whole previous loop at every user boundary
DanielhCarranza/AISDK	47	2026-04-11	open	prefix-broke	undetermined	0 cached tokens on a byte-identical repeat request	Anthropic prompt caching: cache_read_input_tokens = 0 on repeat identical request
maximhq/bifrost	6406	2026-08-21	open	prefix-broke	render-order (Vertex only)	4/11 cache reads vs 28/28 with messages last	Vertex: prompt cache mostly misses because messages is serialized before system/tools
BerriAI/litellm	9812	2025-04-08	closed	accounting	write-premium double-counted	reported $0.091311 vs $0.05439 actual	[Bug]: Anthropic cost calculations are incorrect with prompt caching
musistudio/claude-code-router	1655	2026-08-11	open	accounting	cached prefix double-counted	perceived context ~2x real; auto-compaction fires at half the limit	[Bug] 3.x emits Anthropic usage with input_tokens including the cached prefix
Traigent/Traigent	2068	2026-08-01	open	accounting	cached tokens discarded	cost overstated for every cached workload, every provider	Cached input tokens are discarded from every provider
NousResearch/hermes-agent	71242	2026-07-25	open	accounting	cache tokens dropped	cost under-reported ~7x	Anthropic auxiliary usage shim drops cache_read/cache_creation tokens
ollama/ollama	17130	2026-07-11	open	not-anthropic-api	compat endpoint no-op	n/a	Anthropic-compat /v1/messages silently ignores cache_control; usage missing cache fields
AgnesAI-Labs/AgnesAI-Models	116	2026-08-16	open	not-anthropic-api	compat endpoint no-op	n/a	[Bug]: /v1/messages prompt caching is a no-op - cache_control ignored, usage always 0
zed-industries/zed	52576	2026-03-27	closed	not-anthropic-api	via OpenRouter	n/a	OpenRouter - Anthropic: Prompt cache is not working
